Cliente,Contrato,Tipo de Crédito,Montante a Recuperar
Cliente0001,Contrato3031,Crédito Individual,"1,109.33"
Cliente0002,Contrato1856,Crédito Habitação,"58,957.38"
Cliente0002,Contrato2068,Crédito Cartões,"6,169.21"
Cliente0002,Contrato2581,Crédito Individual,"4,251.84"
Cliente0003,Contrato2051,Crédito Cartões,"13,366.11"
Cliente0004,Contrato1430,Outro Crédito,"11,271.04"
Cliente0005,Contrato2944,Crédito Individual,341.22
Cliente0006,Contrato0730,Outro Crédito,38.78
Cliente0006,Contrato2801,Crédito Individual,"5,177.54"
Cliente0006,Contrato2815,Crédito Individual,"14,339.56"
Cliente0007,Contrato0175,Outro Crédito,7.53
Cliente0008,Contrato2049,Crédito Cartões,862.32
Cliente0009,Contrato1321,Outro Crédito,141.46
Cliente0009,Contrato2934,Crédito Habitação,"54,012.60"
Cliente0010,Contrato2802,Crédito Habitação,330.53
Cliente0011,Contrato2315,Crédito Cartões,63.25
Cliente0012,Contrato1555,Outro Crédito,"2,613.24"
Cliente0013,Contrato1485,Outro Crédito,996.92
Cliente0014,Contrato2271,Crédito Cartões,682.31
Cliente0014,Contrato2677,Crédito Individual,"6,856.49"
Cliente0014,Contrato2727,Crédito Individual,"4,199.07"
Cliente0015,Contrato2893,Crédito Individual,"2,436.65"
Cliente0016,Contrato2045,Crédito Individual,"3,642.95"
Cliente0016,Contrato2056,Crédito Cartões,"1,303.74"
Cliente0017,Contrato0535,Outro Crédito,592.28
Cliente0017,Contrato2957,Crédito Individual,"4,600.34"
Cliente0018,Contrato1457,Outro Crédito,"2,663.11"
Cliente0018,Contrato1458,Outro Crédito,"2,325.63"
Cliente0018,Contrato1458,Outro Crédito,"3,038.83"
Cliente0018,Contrato1459,Outro Crédito,399.04
Cliente0018,Contrato1460,Outro Crédito,"1,715.86"
Cliente0018,Contrato1461,Outro Crédito,"1,975.24"
Cliente0018,Contrato1462,Outro Crédito,"3,907.42"
Cliente0018,Contrato1463,Outro Crédito,"2,376.76"
Cliente0018,Contrato1464,Outro Crédito,"1,332.87"
Cliente0018,Contrato1465,Outro Crédito,887.86
Cliente0018,Contrato1466,Outro Crédito,"2,444.11"
Cliente0018,Contrato1467,Outro Crédito,"1,478.94"
Cliente0018,Contrato1468,Outro Crédito,"1,308.48"
Cliente0018,Contrato1469,Outro Crédito,"2,495.06"
Cliente0018,Contrato1470,Outro Crédito,"1,773.97"
Cliente0018,Contrato1471,Outro Crédito,"6,480.46"
Cliente0018,Contrato1473,Outro Crédito,"29,195.56"
Cliente0018,Contrato1474,Outro Crédito,"2,145.82"
Cliente0018,Contrato1475,Outro Crédito,294.29
Cliente0018,Contrato1476,Outro Crédito,"2,269.53"
Cliente0018,Contrato1639,Outro Crédito,611.27
Cliente0018,Contrato1640,Outro Crédito,"1,612.80"
Cliente0018,Contrato1641,Outro Crédito,553.67
Cliente0019,Contrato2062,Crédito Cartões,"2,869.78"
Cliente0020,Contrato0387,Outro Crédito,693.95
Cliente0020,Contrato2151,Crédito Cartões,"1,583.62"
Cliente0020,Contrato2195,Crédito Cartões,591.52
Cliente0021,Contrato1411,Outro Crédito,"1,280.84"
Cliente0021,Contrato2269,Crédito Cartões,344.76
Cliente0022,Contrato0319,Outro Crédito,"6,738.02"
Cliente0023,Contrato2099,Crédito Cartões,"1,796.82"
Cliente0024,Contrato2048,Crédito Cartões,"6,047.50"
Cliente0025,Contrato1486,Outro Crédito,236.93
Cliente0025,Contrato1489,Outro Crédito,236.93
Cliente0025,Contrato1490,Outro Crédito,"8,230.17"
Cliente0025,Contrato1493,Outro Crédito,244.28
Cliente0025,Contrato1517,Outro Crédito,"1,246.99"
Cliente0025,Contrato1651,Outro Crédito,"8,479.56"
Cliente0026,Contrato1663,Crédito Individual,"9,604.44"
Cliente0027,Contrato1607,Outro Crédito,"10,727.76"
Cliente0028,Contrato1432,Outro Crédito,"50,000.00"
Cliente0028,Contrato1596,Outro Crédito,"28,311.27"
Cliente0029,Contrato0495,Outro Crédito,469.04
Cliente0030,Contrato2946,Crédito Individual,"2,095.96"
Cliente0030,Contrato3105,Crédito Habitação,"2,676.75"
Cliente0031,Contrato1414,Outro Crédito,"1,356.79"
Cliente0031,Contrato2177,Crédito Cartões,"1,007.36"
Cliente0031,Contrato2589,Crédito Individual,"11,196.14"
Cliente0032,Contrato1021,Outro Crédito,817.78
Cliente0033,Contrato1528,Outro Crédito,"17,705.50"
Cliente0034,Contrato0121,Outro Crédito,36.99
Cliente0035,Contrato1343,Outro Crédito,98.33
Cliente0035,Contrato1660,Crédito Individual,"15,337.13"
Cliente0036,Contrato1394,Outro Crédito,"22,445.91"
Cliente0037,Contrato1559,Outro Crédito,73.52
Cliente0037,Contrato1560,Outro Crédito,802.44
Cliente0037,Contrato1561,Outro Crédito,"2,434.13"
Cliente0037,Contrato1562,Outro Crédito,"1,416.19"
Cliente0037,Contrato1563,Outro Crédito,772.33
Cliente0037,Contrato1564,Outro Crédito,947.97
Cliente0037,Contrato1565,Outro Crédito,812.54
Cliente0037,Contrato1566,Outro Crédito,514.76
Cliente0037,Contrato1567,Outro Crédito,656.98
Cliente0037,Contrato1568,Outro Crédito,46.04
Cliente0037,Contrato1569,Outro Crédito,46.04
Cliente0037,Contrato1570,Outro Crédito,"1,290.85"
Cliente0037,Contrato1571,Outro Crédito,73.52
Cliente0037,Contrato1572,Outro Crédito,746.46
Cliente0037,Contrato1573,Outro Crédito,267.11
Cliente0037,Contrato1574,Outro Crédito,32.26
Cliente0037,Contrato1575,Outro Crédito,32.26
Cliente0037,Contrato1576,Outro Crédito,32.26
Cliente0037,Contrato1577,Outro Crédito,53.93
Cliente0037,Contrato1578,Outro Crédito,845.31
Cliente0037,Contrato1580,Outro Crédito,32.26
Cliente0037,Contrato1581,Outro Crédito,42.15
Cliente0037,Contrato1582,Outro Crédito,46.04
Cliente0037,Contrato1583,Outro Crédito,73.52
Cliente0037,Contrato1584,Outro Crédito,400.43
Cliente0037,Contrato1585,Outro Crédito,46.04
Cliente0037,Contrato1586,Outro Crédito,73.52
Cliente0037,Contrato1589,Outro Crédito,46.04
Cliente0037,Contrato1590,Outro Crédito,32.26
Cliente0037,Contrato1593,Outro Crédito,42.15
Cliente0037,Contrato1594,Outro Crédito,73.52
Cliente0037,Contrato1595,Outro Crédito,11.27
Cliente0037,Contrato1602,Outro Crédito,73.52
Cliente0038,Contrato0241,Outro Crédito,18.76
Cliente0038,Contrato1875,Crédito Habitação,"1,336.08"
Cliente0039,Contrato1478,Outro Crédito,589.92
